Time_min,Frequency_Hz,Impedance_Magnitude
0,500,876.9574054461414
5,500,867.027646536823
10,500,860.9495959300689
15,500,866.6095551027041
20,500,862.7427004121959
25,500,860.6203137818405
30,500,863.9785289131946
35,500,861.706044223741
40,500,863.4103031030646
45,500,857.3324560719627
50,500,859.9348047497435
55,500,867.1503064824354
60,500,870.9024449386706
65,500,863.4157413020216
70,500,860.1989059438222
75,500,862.2989011994413
80,500,875.094190268966
85,500,871.9952466600539
90,500,867.8531616055723
95,500,867.7035185713981
100,500,868.9502214142295
105,500,865.0723351544937
110,500,886.0838797243312
115,500,864.6047748252672
120,500,858.7287593508794
125,500,869.2817195116812
130,500,868.7386585862384
135,500,864.732845948603
140,500,872.2666843405075
145,500,860.4551467564158
150,500,872.4982222054958
155,500,859.8786224691831
160,500,859.0800744677923
165,500,870.9137569345753
170,500,870.4617724807508
175,500,867.0042948565426
180,500,862.6116899818838
185,500,861.7960297663644
190,500,859.6931831775822
195,500,878.2763001024908
200,500,870.9616512690609
205,500,867.347214573453
210,500,857.723757505678
215,500,862.4900478293532
220,500,866.723906007533
225,500,862.5308152609558
230,500,866.9711106800544
235,500,873.2447375004336
240,500,862.6898051404422
245,500,871.7075645693895
250,500,876.0542785725647
255,500,879.5065975166597
260,500,866.4085301276068
265,500,864.3326941497724
270,500,860.7920992798503
275,500,875.096016785654
280,500,871.7261068236094
285,500,866.6601180800592
290,500,865.8118727225421
295,500,867.3889075474783
300,500,869.9115845689902
305,500,877.8252839757153
310,500,869.1612239328198
315,500,866.4525646734351
320,500,869.13160326156
325,500,863.6573417537903
330,500,866.7551865658338
335,500,868.524994505826
340,500,867.2614982448431
345,500,868.3217771257844
350,500,878.3686558101691
355,500,873.0372345557914
360,500,868.5819175838604
365,500,883.1429874390113
370,500,858.1603064278021
375,500,868.1280613259653
380,500,876.7482347483601
385,500,873.1149165068277
390,500,870.029068026872
395,500,866.3370703640524
400,500,879.1353565261453
405,500,859.7897507502391
410,500,870.5419496229919
415,500,870.9154853115401
420,500,864.8895095335631
425,500,868.1705840898086
430,500,877.1729039643458
435,500,868.2545154217654
440,500,868.6902472840942
445,500,862.9738238913638
450,500,861.6936706669159
455,500,859.1388621370628
460,500,876.9054103761182
465,500,872.8339402362417
470,500,871.9900029190975
475,500,870.7731368111017
480,500,872.1242609347482
485,500,871.6022562925523
490,500,876.1349296079144
495,500,870.0847852569086
500,500,861.835735369882
505,500,867.9252161481812
510,500,870.9953671693306
515,500,867.149312174295
520,500,875.0143701589342
525,500,874.8911928830954
530,500,855.0182879318284
535,500,865.5230164008424
540,500,874.846740560955
545,500,872.606767828497
550,500,874.9470756281405
555,500,874.9850533263607
560,500,876.061100261259
565,500,880.9812706320989
570,500,865.5451068795392
575,500,873.4429311403475
580,500,867.7882634793143
585,500,875.5820447670761
590,500,872.4031617696512
595,500,873.8728012156926
600,500,876.7787865908438
605,500,868.1864646033933
610,500,875.7439509968337
615,500,869.4557883490588
620,500,877.1009829182744
625,500,861.885681534732
630,500,875.178580627511
635,500,871.8499427298409
640,500,866.9435629380672
645,500,863.9657645178302
650,500,870.4371006698426
655,500,871.9030338415904
660,500,869.7238442378198
665,500,876.0678367201691
670,500,873.311393247845
675,500,858.0720310769591
680,500,871.4760796496664
685,500,870.9693472761775
690,500,866.9768694049095
695,500,862.7891907917858
700,500,870.5006934316123
705,500,878.5793228362612
710,500,867.9637716435925
715,500,868.6299870738297
720,500,869.0761639378076
725,500,876.6856561203142
730,500,866.0479595340153
735,500,879.3127141742216
740,500,883.5412575703177
745,500,879.0820205063633
750,500,869.0242506939686
755,500,865.6368704851513
760,500,873.2764414008927
765,500,871.1166243738625
770,500,872.0352255441887
775,500,872.5717699860115
780,500,868.9397691873522
785,500,873.2394958727156
790,500,878.9579832152032
795,500,876.0020141077655
800,500,877.51119082037
805,500,869.1943220468933
810,500,881.3124742228599
815,500,871.0986689574346
820,500,867.167622084721
825,500,874.2603888887206
830,500,877.392637277273
835,500,868.3781034716868
840,500,877.4574744173387
845,500,872.8445270367954
850,500,871.1976383085495
855,500,877.8827739350004
860,500,870.2367680119379
865,500,882.4084230512124
870,500,869.2874344305566
875,500,872.2263270905339
880,500,880.4838818572123
885,500,868.8036821858898
890,500,872.6341569841526
895,500,881.2547713852465
900,500,880.1996550016253
905,500,876.1843603077219
910,500,869.972232821571
915,500,873.2854508567884
920,500,888.0366057509157
925,500,867.0931899029407
930,500,873.1888905464987
935,500,873.434622052708
940,500,872.9341050189984
945,500,881.4113098699904
950,500,868.4442723988058
955,500,872.3581142415208
